chain_id,chain_family,chain_number,display_name,standard,pitch_in,pitch_mm,strands,status,provenance,needs_review,description,application_tags,materials_available,options_upgrades,roller_dia_in,roller_dia_mm,inner_width_in,inner_width_mm,pin_dia_in,pin_dia_mm,plate_height_in,plate_height_mm,weight_lbs_ft,weight_kg_m,extra_dims_json,tensile_lbs,tensile_kn,working_load_lbs,working_load_kn,temp_min_c,temp_max_c,lubrication,perf_source,pn_tsubaki,image_url,drawing_url,uniking_notes
DP-C2040,Double Pitch Conveyor Chains,C2040,C2040 Double Pitch Conveyor Chain (S roller),ISO 1275-A / ASME B29.100 / JIS B1803,1,25.4,1,Active,catalog-verified,FALSE,"C2040 double pitch conveyor chain, 25.4 mm (1 in) pitch, standard (S) roller. Flat link plate contour, twice the pitch of the corresponding base roller chain. Ideal for long-span, low-speed conveyance. RS sprockets usable with S rollers at 30+ teeth.","double pitch, conveyor, flat plate, long span, low speed, attachment chain","Carbon Steel, Stainless Steel 304, Nickel Plated, Engineering Plastic Rollers",A1|A2|K1|K2|SA1|SA2|SK1|SK2|GNK1|EP extended pin|hollow pin|plastic roller|stainless SS|nickel NP|NEP coated|low-noise SNP,0.312,7.92,0.313,7.95,0.156,3.97,0.472,12,0.343,0.51,"{""plate_thickness_mm"": 1.5}",,,,,-10,150,Standard lubrication; lube-free and plastic-roller variants available,Tsubaki Small Size Conveyor Chain catalog (dims),RF2040S,,,PKG-01b. Dims catalog-verified from official Tsubaki PDF. Tensile equals corresponding base roller chain — pull from Tsubaki strength tables pp.91-92 in 01c patch; left blank rather than derived.
DP-C2042,Double Pitch Conveyor Chains,C2042,C2042 Double Pitch Conveyor Chain (R roller),ISO 1275-A / ASME B29.100 / JIS B1803,1,25.4,1,Active,catalog-verified,FALSE,"C2042 double pitch conveyor chain, 25.4 mm (1 in) pitch, oversized (R) roller. Flat link plate contour, twice the pitch of the corresponding base roller chain. Ideal for long-span, low-speed conveyance.","double pitch, conveyor, flat plate, long span, low speed, attachment chain","Carbon Steel, Stainless Steel 304, Nickel Plated, Engineering Plastic Rollers",A1|A2|K1|K2|SA1|SA2|SK1|SK2|GNK1|EP extended pin|hollow pin|plastic roller|stainless SS|nickel NP|NEP coated|low-noise SNP,0.625,15.88,0.313,7.95,0.156,3.97,0.472,12,0.585,0.87,"{""plate_thickness_mm"": 1.5}",,,,,-10,150,Standard lubrication; lube-free and plastic-roller variants available,Tsubaki Small Size Conveyor Chain catalog (dims),RF2040R,,,PKG-01b. Dims catalog-verified from official Tsubaki PDF. Tensile equals corresponding base roller chain — pull from Tsubaki strength tables pp.91-92 in 01c patch; left blank rather than derived.
DP-C2050,Double Pitch Conveyor Chains,C2050,C2050 Double Pitch Conveyor Chain (S roller),ISO 1275-A / ASME B29.100 / JIS B1803,1.25,31.75,1,Active,catalog-verified,FALSE,"C2050 double pitch conveyor chain, 31.75 mm (1.25 in) pitch, standard (S) roller. Flat link plate contour, twice the pitch of the corresponding base roller chain. Ideal for long-span, low-speed conveyance. RS sprockets usable with S rollers at 30+ teeth.","double pitch, conveyor, flat plate, long span, low speed, attachment chain","Carbon Steel, Stainless Steel 304, Nickel Plated, Engineering Plastic Rollers",A1|A2|K1|K2|SA1|SA2|SK1|SK2|GNK1|EP extended pin|hollow pin|plastic roller|stainless SS|nickel NP|NEP coated|low-noise SNP,0.400,10.16,0.375,9.53,0.200,5.09,0.591,15,0.564,0.84,"{""plate_thickness_mm"": 2.0}",,,,,-10,150,Standard lubrication; lube-free and plastic-roller variants available,Tsubaki Small Size Conveyor Chain catalog (dims),RF2050S,,,PKG-01b. Dims catalog-verified from official Tsubaki PDF. Tensile equals corresponding base roller chain — pull from Tsubaki strength tables pp.91-92 in 01c patch; left blank rather than derived.
DP-C2052,Double Pitch Conveyor Chains,C2052,C2052 Double Pitch Conveyor Chain (R roller),ISO 1275-A / ASME B29.100 / JIS B1803,1.25,31.75,1,Active,catalog-verified,FALSE,"C2052 double pitch conveyor chain, 31.75 mm (1.25 in) pitch, oversized (R) roller. Flat link plate contour, twice the pitch of the corresponding base roller chain. Ideal for long-span, low-speed conveyance.","double pitch, conveyor, flat plate, long span, low speed, attachment chain","Carbon Steel, Stainless Steel 304, Nickel Plated, Engineering Plastic Rollers",A1|A2|K1|K2|SA1|SA2|SK1|SK2|GNK1|EP extended pin|hollow pin|plastic roller|stainless SS|nickel NP|NEP coated|low-noise SNP,0.750,19.05,0.375,9.53,0.200,5.09,0.591,15,0.874,1.3,"{""plate_thickness_mm"": 2.0}",,,,,-10,150,Standard lubrication; lube-free and plastic-roller variants available,Tsubaki Small Size Conveyor Chain catalog (dims),RF2050R,,,PKG-01b. Dims catalog-verified from official Tsubaki PDF. Tensile equals corresponding base roller chain — pull from Tsubaki strength tables pp.91-92 in 01c patch; left blank rather than derived.
DP-C2060,Double Pitch Conveyor Chains,C2060,C2060 Double Pitch Conveyor Chain (S roller),ISO 1275-A / ASME B29.100 / JIS B1803,1.5,38.1,1,Active,catalog-verified,FALSE,"C2060 double pitch conveyor chain, 38.1 mm (1.5 in) pitch, standard (S) roller. Flat link plate contour, twice the pitch of the corresponding base roller chain. Ideal for long-span, low-speed conveyance. RS sprockets usable with S rollers at 30+ teeth.","double pitch, conveyor, flat plate, long span, low speed, attachment chain","Carbon Steel, Stainless Steel 304, Nickel Plated, Engineering Plastic Rollers",A1|A2|K1|K2|SA1|SA2|SK1|SK2|GNK1|EP extended pin|hollow pin|plastic roller|stainless SS|nickel NP|NEP coated|low-noise SNP,0.469,11.91,0.500,12.7,0.235,5.96,0.677,17.2,1.015,1.51,"{""plate_thickness_mm"": 3.2}",,,,,-10,150,Standard lubrication; lube-free and plastic-roller variants available,Tsubaki Small Size Conveyor Chain catalog (dims),RF2060S,,,PKG-01b. Dims catalog-verified from official Tsubaki PDF. Tensile equals corresponding base roller chain — pull from Tsubaki strength tables pp.91-92 in 01c patch; left blank rather than derived.
DP-C2062,Double Pitch Conveyor Chains,C2062,C2062 Double Pitch Conveyor Chain (R roller),ISO 1275-A / ASME B29.100 / JIS B1803,1.5,38.1,1,Active,catalog-verified,FALSE,"C2062 double pitch conveyor chain, 38.1 mm (1.5 in) pitch, oversized (R) roller. Flat link plate contour, twice the pitch of the corresponding base roller chain. Ideal for long-span, low-speed conveyance.","double pitch, conveyor, flat plate, long span, low speed, attachment chain","Carbon Steel, Stainless Steel 304, Nickel Plated, Engineering Plastic Rollers",A1|A2|K1|K2|SA1|SA2|SK1|SK2|GNK1|EP extended pin|hollow pin|plastic roller|stainless SS|nickel NP|NEP coated|low-noise SNP,0.875,22.23,0.500,12.7,0.235,5.96,0.677,17.2,1.472,2.19,"{""plate_thickness_mm"": 3.2}",,,,,-10,150,Standard lubrication; lube-free and plastic-roller variants available,Tsubaki Small Size Conveyor Chain catalog (dims),RF2060R,,,PKG-01b. Dims catalog-verified from official Tsubaki PDF. Tensile equals corresponding base roller chain — pull from Tsubaki strength tables pp.91-92 in 01c patch; left blank rather than derived.
DP-C2080,Double Pitch Conveyor Chains,C2080,C2080 Double Pitch Conveyor Chain (S roller),ISO 1275-A / ASME B29.100 / JIS B1803,2,50.8,1,Active,catalog-verified,FALSE,"C2080 double pitch conveyor chain, 50.8 mm (2 in) pitch, standard (S) roller. Flat link plate contour, twice the pitch of the corresponding base roller chain. Ideal for long-span, low-speed conveyance. RS sprockets usable with S rollers at 30+ teeth.","double pitch, conveyor, flat plate, long span, low speed, attachment chain","Carbon Steel, Stainless Steel 304, Nickel Plated, Engineering Plastic Rollers",A1|A2|K1|K2|SA1|SA2|SK1|SK2|GNK1|EP extended pin|hollow pin|plastic roller|stainless SS|nickel NP|NEP coated|low-noise SNP,0.625,15.88,0.625,15.88,0.313,7.94,0.906,23,1.620,2.41,"{""plate_thickness_mm"": 4.0}",,,,,-10,150,Standard lubrication; lube-free and plastic-roller variants available,Tsubaki Small Size Conveyor Chain catalog (dims),RF2080S,,,PKG-01b. Dims catalog-verified from official Tsubaki PDF. Tensile equals corresponding base roller chain — pull from Tsubaki strength tables pp.91-92 in 01c patch; left blank rather than derived.
DP-C2082,Double Pitch Conveyor Chains,C2082,C2082 Double Pitch Conveyor Chain (R roller),ISO 1275-A / ASME B29.100 / JIS B1803,2,50.8,1,Active,catalog-verified,FALSE,"C2082 double pitch conveyor chain, 50.8 mm (2 in) pitch, oversized (R) roller. Flat link plate contour, twice the pitch of the corresponding base roller chain. Ideal for long-span, low-speed conveyance.","double pitch, conveyor, flat plate, long span, low speed, attachment chain","Carbon Steel, Stainless Steel 304, Nickel Plated, Engineering Plastic Rollers",A1|A2|K1|K2|SA1|SA2|SK1|SK2|GNK1|EP extended pin|hollow pin|plastic roller|stainless SS|nickel NP|NEP coated|low-noise SNP,1.125,28.58,0.625,15.88,0.313,7.94,0.906,23,2.365,3.52,"{""plate_thickness_mm"": 4.0}",,,,,-10,150,Standard lubrication; lube-free and plastic-roller variants available,Tsubaki Small Size Conveyor Chain catalog (dims),RF2080R,,,PKG-01b. Dims catalog-verified from official Tsubaki PDF. Tensile equals corresponding base roller chain — pull from Tsubaki strength tables pp.91-92 in 01c patch; left blank rather than derived.
DP-C2100,Double Pitch Conveyor Chains,C2100,C2100 Double Pitch Conveyor Chain (S roller),ISO 1275-A / ASME B29.100 / JIS B1803,2.5,63.5,1,Active,catalog-verified,FALSE,"C2100 double pitch conveyor chain, 63.5 mm (2.5 in) pitch, standard (S) roller. Flat link plate contour, twice the pitch of the corresponding base roller chain. Ideal for long-span, low-speed conveyance. RS sprockets usable with S rollers at 30+ teeth.","double pitch, conveyor, flat plate, long span, low speed, attachment chain","Carbon Steel, Stainless Steel 304, Nickel Plated, Engineering Plastic Rollers",A1|A2|K1|K2|SA1|SA2|SK1|SK2|GNK1|EP extended pin|hollow pin|plastic roller|stainless SS|nickel NP|NEP coated|low-noise SNP,0.750,19.05,0.750,19.05,0.376,9.54,1.126,28.6,2.379,3.54,"{""plate_thickness_mm"": 4.8}",,,,,-10,150,Standard lubrication; lube-free and plastic-roller variants available,Tsubaki Small Size Conveyor Chain catalog (dims),RF2100S,,,PKG-01b. Dims catalog-verified from official Tsubaki PDF. Tensile equals corresponding base roller chain — pull from Tsubaki strength tables pp.91-92 in 01c patch; left blank rather than derived.
DP-C2102,Double Pitch Conveyor Chains,C2102,C2102 Double Pitch Conveyor Chain (R roller),ISO 1275-A / ASME B29.100 / JIS B1803,2.5,63.5,1,Active,catalog-verified,FALSE,"C2102 double pitch conveyor chain, 63.5 mm (2.5 in) pitch, oversized (R) roller. Flat link plate contour, twice the pitch of the corresponding base roller chain. Ideal for long-span, low-speed conveyance.","double pitch, conveyor, flat plate, long span, low speed, attachment chain","Carbon Steel, Stainless Steel 304, Nickel Plated, Engineering Plastic Rollers",A1|A2|K1|K2|SA1|SA2|SK1|SK2|GNK1|EP extended pin|hollow pin|plastic roller|stainless SS|nickel NP|NEP coated|low-noise SNP,1.563,39.69,0.750,19.05,0.376,9.54,1.126,28.6,3.898,5.8,"{""plate_thickness_mm"": 4.8}",,,,,-10,150,Standard lubrication; lube-free and plastic-roller variants available,Tsubaki Small Size Conveyor Chain catalog (dims),RF2100R,,,PKG-01b. Dims catalog-verified from official Tsubaki PDF. Tensile equals corresponding base roller chain — pull from Tsubaki strength tables pp.91-92 in 01c patch; left blank rather than derived.
DP-C2120,Double Pitch Conveyor Chains,C2120,C2120 Double Pitch Conveyor Chain (S roller),ISO 1275-A / ASME B29.100 / JIS B1803,3,76.2,1,Active,catalog-verified,FALSE,"C2120 double pitch conveyor chain, 76.2 mm (3 in) pitch, standard (S) roller. Flat link plate contour, twice the pitch of the corresponding base roller chain. Ideal for long-span, low-speed conveyance. RS sprockets usable with S rollers at 30+ teeth.","double pitch, conveyor, flat plate, long span, low speed, attachment chain","Carbon Steel, Stainless Steel 304, Nickel Plated, Engineering Plastic Rollers",A1|A2|K1|K2|SA1|SA2|SK1|SK2|GNK1|EP extended pin|hollow pin|plastic roller|stainless SS|nickel NP|NEP coated|low-noise SNP,0.875,22.23,1.000,25.4,0.437,11.11,1.354,34.4,3.414,5.08,"{""plate_thickness_mm"": 5.6}",,,,,-10,150,Standard lubrication; lube-free and plastic-roller variants available,Tsubaki Small Size Conveyor Chain catalog (dims),RF2120S,,,PKG-01b. Dims catalog-verified from official Tsubaki PDF. Tensile equals corresponding base roller chain — pull from Tsubaki strength tables pp.91-92 in 01c patch; left blank rather than derived.
DP-C2122,Double Pitch Conveyor Chains,C2122,C2122 Double Pitch Conveyor Chain (R roller),ISO 1275-A / ASME B29.100 / JIS B1803,3,76.2,1,Active,catalog-verified,FALSE,"C2122 double pitch conveyor chain, 76.2 mm (3 in) pitch, oversized (R) roller. Flat link plate contour, twice the pitch of the corresponding base roller chain. Ideal for long-span, low-speed conveyance.","double pitch, conveyor, flat plate, long span, low speed, attachment chain","Carbon Steel, Stainless Steel 304, Nickel Plated, Engineering Plastic Rollers",A1|A2|K1|K2|SA1|SA2|SK1|SK2|GNK1|EP extended pin|hollow pin|plastic roller|stainless SS|nickel NP|NEP coated|low-noise SNP,1.750,44.45,1.000,25.4,0.437,11.11,1.354,34.4,5.463,8.13,"{""plate_thickness_mm"": 5.6}",,,,,-10,150,Standard lubrication; lube-free and plastic-roller variants available,Tsubaki Small Size Conveyor Chain catalog (dims),RF2120R,,,PKG-01b. Dims catalog-verified from official Tsubaki PDF. Tensile equals corresponding base roller chain — pull from Tsubaki strength tables pp.91-92 in 01c patch; left blank rather than derived.
DP-C2160,Double Pitch Conveyor Chains,C2160,C2160 Double Pitch Conveyor Chain (S roller),ISO 1275-A / ASME B29.100 / JIS B1803,4,101.6,1,Active,catalog-verified,FALSE,"C2160 double pitch conveyor chain, 101.6 mm (4 in) pitch, standard (S) roller. Flat link plate contour, twice the pitch of the corresponding base roller chain. Ideal for long-span, low-speed conveyance. RS sprockets usable with S rollers at 30+ teeth.","double pitch, conveyor, flat plate, long span, low speed, attachment chain","Carbon Steel, Stainless Steel 304, Nickel Plated, Engineering Plastic Rollers",A1|A2|K1|K2|SA1|SA2|SK1|SK2|GNK1|EP extended pin|hollow pin|plastic roller|stainless SS|nickel NP|NEP coated|low-noise SNP,1.125,28.58,1.250,31.75,0.563,14.29,1.898,48.2,6.021,8.96,"{""plate_thickness_mm"": 7.15}",,,,,-10,150,Standard lubrication; lube-free and plastic-roller variants available,Tsubaki Small Size Conveyor Chain catalog (dims),RF2160S,,,PKG-01b. Dims catalog-verified from official Tsubaki PDF. Tensile equals corresponding base roller chain — pull from Tsubaki strength tables pp.91-92 in 01c patch; left blank rather than derived.
DP-C2162,Double Pitch Conveyor Chains,C2162,C2162 Double Pitch Conveyor Chain (R roller),ISO 1275-A / ASME B29.100 / JIS B1803,4,101.6,1,Active,catalog-verified,FALSE,"C2162 double pitch conveyor chain, 101.6 mm (4 in) pitch, oversized (R) roller. Flat link plate contour, twice the pitch of the corresponding base roller chain. Ideal for long-span, low-speed conveyance.","double pitch, conveyor, flat plate, long span, low speed, attachment chain","Carbon Steel, Stainless Steel 304, Nickel Plated, Engineering Plastic Rollers",A1|A2|K1|K2|SA1|SA2|SK1|SK2|GNK1|EP extended pin|hollow pin|plastic roller|stainless SS|nickel NP|NEP coated|low-noise SNP,2.250,57.15,1.250,31.75,0.563,14.29,1.898,48.2,9.206,13.7,"{""plate_thickness_mm"": 7.15}",,,,,-10,150,Standard lubrication; lube-free and plastic-roller variants available,Tsubaki Small Size Conveyor Chain catalog (dims),RF2160R,,,PKG-01b. Dims catalog-verified from official Tsubaki PDF. Tensile equals corresponding base roller chain — pull from Tsubaki strength tables pp.91-92 in 01c patch; left blank rather than derived.
