chain_id,chain_family,chain_number,display_name,standard,pitch_in,pitch_mm,strands,status,provenance,needs_review,description,application_tags,materials_available,options_upgrades,roller_dia_in,roller_dia_mm,inner_width_in,inner_width_mm,pin_dia_in,pin_dia_mm,plate_height_in,plate_height_mm,weight_lbs_ft,weight_kg_m,extra_dims_json,tensile_lbs,tensile_kn,working_load_lbs,working_load_kn,temp_min_c,temp_max_c,lubrication,perf_source,pn_tsubaki,image_url,drawing_url,uniking_notes
LF-BL422,Leaf Chains,BL422,BL422 Leaf Chain (2x2 lacing),ASME/ANSI B29.8,0.5,12.7,1,Active,catalog-verified,FALSE,"BL422 heavy-series leaf chain, 12.7 mm (0.5 in) pitch, 2x2 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion: forklift masts, hoists, counterweights.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.200,5.08,,,,,"{""lacing"": ""2x2"", ""overall_pin_length_in"": 0.427, ""overall_pin_length_mm"": 10.85}",5000,22.2,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL422,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 5300 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL423,Leaf Chains,BL423,BL423 Leaf Chain (2x3 lacing),ASME/ANSI B29.8,0.5,12.7,1,Active,catalog-verified,FALSE,"BL423 heavy-series leaf chain, 12.7 mm (0.5 in) pitch, 2x3 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.200,5.08,,,,,"{""lacing"": ""2x3"", ""overall_pin_length_in"": 0.510, ""overall_pin_length_mm"": 12.95}",5000,22.2,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL423,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 5300 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL434,Leaf Chains,BL434,BL434 Leaf Chain (3x4 lacing),ASME/ANSI B29.8,0.5,12.7,1,Active,catalog-verified,FALSE,"BL434 heavy-series leaf chain, 12.7 mm (0.5 in) pitch, 3x4 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.200,5.08,,,,,"{""lacing"": ""3x4"", ""overall_pin_length_in"": 0.677, ""overall_pin_length_mm"": 17.2}",7500,33.4,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL434,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 7900 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL444,Leaf Chains,BL444,BL444 Leaf Chain (4x4 lacing),ASME/ANSI B29.8,0.5,12.7,1,Active,catalog-verified,FALSE,"BL444 heavy-series leaf chain, 12.7 mm (0.5 in) pitch, 4x4 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.200,5.08,,,,,"{""lacing"": ""4x4"", ""overall_pin_length_in"": 0.764, ""overall_pin_length_mm"": 19.41}",10000,44.5,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL444,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 10600 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL446,Leaf Chains,BL446,BL446 Leaf Chain (4x6 lacing),ASME/ANSI B29.8,0.5,12.7,1,Active,catalog-verified,FALSE,"BL446 heavy-series leaf chain, 12.7 mm (0.5 in) pitch, 4x6 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.200,5.08,,,,,"{""lacing"": ""4x6"", ""overall_pin_length_in"": 0.929, ""overall_pin_length_mm"": 23.6}",10000,44.5,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL446,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 10600 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL466,Leaf Chains,BL466,BL466 Leaf Chain (6x6 lacing),ASME/ANSI B29.8,0.5,12.7,1,Active,catalog-verified,FALSE,"BL466 heavy-series leaf chain, 12.7 mm (0.5 in) pitch, 6x6 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.200,5.08,,,,,"{""lacing"": ""6x6"", ""overall_pin_length_in"": 1.094, ""overall_pin_length_mm"": 27.79}",15000,66.7,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL466,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 15600 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL522,Leaf Chains,BL522,BL522 Leaf Chain (2x2 lacing),ASME/ANSI B29.8,0.625,15.875,1,Active,catalog-verified,FALSE,"BL522 heavy-series leaf chain, 15.875 mm (0.625 in) pitch, 2x2 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.234,5.94,,,,,"{""lacing"": ""2x2"", ""overall_pin_length_in"": 0.498, ""overall_pin_length_mm"": 12.65}",7500,33.4,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL522,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 8800 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL523,Leaf Chains,BL523,BL523 Leaf Chain (2x3 lacing),ASME/ANSI B29.8,0.625,15.875,1,Active,catalog-verified,FALSE,"BL523 heavy-series leaf chain, 15.875 mm (0.625 in) pitch, 2x3 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.234,5.94,,,,,"{""lacing"": ""2x3"", ""overall_pin_length_in"": 0.594, ""overall_pin_length_mm"": 15.09}",7500,33.4,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL523,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 8800 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL534,Leaf Chains,BL534,BL534 Leaf Chain (3x4 lacing),ASME/ANSI B29.8,0.625,15.875,1,Active,catalog-verified,FALSE,"BL534 heavy-series leaf chain, 15.875 mm (0.625 in) pitch, 3x4 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.234,5.94,,,,,"{""lacing"": ""3x4"", ""overall_pin_length_in"": 0.791, ""overall_pin_length_mm"": 20.09}",11000,48.9,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL534,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 13200 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
LF-BL544,Leaf Chains,BL544,BL544 Leaf Chain (4x4 lacing),ASME/ANSI B29.8,0.625,15.875,1,Active,catalog-verified,FALSE,"BL544 heavy-series leaf chain, 15.875 mm (0.625 in) pitch, 4x4 lacing. Link plates and pins only — runs over sheaves, not sprockets. For lifting, balancing and linear motion applications.","leaf chain, forklift mast, lifting, hoist, counterweight, balancing",Carbon Steel (heat treated),clevis terminals|sheaves|custom lacing,,,,,0.234,5.94,,,,,"{""lacing"": ""4x4"", ""overall_pin_length_in"": 0.888, ""overall_pin_length_mm"": 22.56}",15000,66.7,,,,,Periodic oiling of pin joints,ASME/ANSI B29.8 min tensile; dims verified catalog.tsubaki.ca,BL544,,,PKG-01f. Catalog-verified. Tsubaki published min tensile 17600 lb exceeds ANSI min. Plate height + weight via 01f addendum (Code).
