chain_id,chain_family,chain_number,display_name,standard,pitch_in,pitch_mm,strands,status,provenance,needs_review,description,application_tags,materials_available,options_upgrades,roller_dia_in,roller_dia_mm,inner_width_in,inner_width_mm,pin_dia_in,pin_dia_mm,plate_height_in,plate_height_mm,weight_lbs_ft,weight_kg_m,extra_dims_json,tensile_lbs,tensile_kn,working_load_lbs,working_load_kn,temp_min_c,temp_max_c,lubrication,perf_source,pn_tsubaki,pn_donghua,pn_canam,pn_macchain,pn_rexnord,pn_linkbelt,pn_renold,pn_jeffrey,pn_webster,image_url,drawing_url,uniking_notes
TSU-RF03075,Conveyor Roller Chains,RF03075,Tsubaki RF03075 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),2.953,75,1,Active,catalog-verified,FALSE,"Tsubaki RF03075 large size conveyor chain, 75 mm pitch, 29.4 kN average tensile (DT series). Available in DT/GT/CT/AT/BT strength-wear tiers and stainless/coated corrosion series; R, F, S, M, N roller types; full standard attachment range.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S-M-N rollers|A1-A2-K1-K2-SA2-SK2-GA2-GA4 attachments,,,,,,,,,1.88,2.8,,6610,29.4,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF03075,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF03100,Conveyor Roller Chains,RF03100,Tsubaki RF03100 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),3.937,100,1,Active,catalog-verified,FALSE,"Tsubaki RF03100 large size conveyor chain, 100 mm pitch, 29.4 kN average tensile (DT series). Available in DT/GT/CT/AT/BT strength-wear tiers and stainless/coated corrosion series; R, F, S, M, N roller types; full standard attachment range.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S-M-N rollers|A1-A2-K1-K2-SA2-SK2-GA2-GA4 attachments,,,,,,,,,1.61,2.4,,6610,29.4,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF03100,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF05075,Conveyor Roller Chains,RF05075,Tsubaki RF05075 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),2.953,75,1,Active,catalog-verified,FALSE,"Tsubaki RF05075 large size conveyor chain, 75 mm pitch, 68.6 kN average tensile (DT series). S roller only. Available in DT/GT/CT/AT/BT tiers and stainless/coated series.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|S roller|A1-A2-K1-K2 attachments,,,,,,,,,2.89,4.3,,15420,68.6,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF05075,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF05100,Conveyor Roller Chains,RF05100,Tsubaki RF05100 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),3.937,100,1,Active,catalog-verified,FALSE,"Tsubaki RF05100 large size conveyor chain, 100 mm pitch, 68.6 kN average tensile (DT series). Available in DT/GT/CT/AT/BT strength-wear tiers and stainless/coated corrosion series; R, F, S roller types; full standard attachment range.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S rollers|A1-A2-K1-K2-SA2-SK2-GA2-GA4 attachments,,,,,,,,,3.49,5.2,,15420,68.6,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF05100,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF05125,Conveyor Roller Chains,RF05125,Tsubaki RF05125 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),4.921,125,1,Active,catalog-verified,FALSE,"Tsubaki RF05125 large size conveyor chain, 125 mm pitch, 68.6 kN average tensile (DT series). Available in DT/GT/CT/AT/BT strength-wear tiers and stainless/coated corrosion series; R, F, S roller types; full standard attachment range.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S rollers|A1-A2-K1-K2-SA2-SK2 attachments,,,,,,,,,3.02,4.5,,15420,68.6,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF05125,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF05150,Conveyor Roller Chains,RF05150,Tsubaki RF05150 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),5.906,150,1,Active,catalog-verified,FALSE,"Tsubaki RF05150 large size conveyor chain, 150 mm pitch, 68.6 kN average tensile (DT series). Available in DT/GT/CT/AT/BT strength-wear tiers and stainless/coated corrosion series; R, F, S roller types; full standard attachment range.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S rollers|A1-A2-K1-K2-SA2-SK2-GA2-GA4 attachments,,,,,,,,,2.82,4.2,,15420,68.6,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF05150,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF08125,Conveyor Roller Chains,RF08125,Tsubaki RF08125 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),4.921,125,1,Active,catalog-verified,FALSE,"Tsubaki RF08125 large size conveyor chain, 125 mm pitch, 78.5 kN average tensile (DT series). Available in DT/GT/CT/AT/BT strength-wear tiers and stainless/coated corrosion series; R, F, S roller types; full standard attachment range.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S rollers|A1-A2-K1-K2-SA2-SK2 attachments,,,,,,,,,3.96,5.9,,17650,78.5,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF08125,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF08150,Conveyor Roller Chains,RF08150,Tsubaki RF08150 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),5.906,150,1,Active,catalog-verified,FALSE,"Tsubaki RF08150 large size conveyor chain, 150 mm pitch, 78.5 kN average tensile (DT series). Available in DT/GT/CT/AT/BT strength-wear tiers and stainless/coated corrosion series; R, F, S roller types; full standard attachment range.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S rollers|A1-A2-K1-K2-SA2-SK2 attachments,,,,,,,,,3.76,5.6,,17650,78.5,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF08150,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF10100,Conveyor Roller Chains,RF10100,Tsubaki RF10100 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),3.937,100,1,Active,catalog-verified,FALSE,"Tsubaki RF10100 large size conveyor chain, 100 mm pitch, 113 kN average tensile (DT series). Available in DT/GT/CT/AT/BT strength-wear tiers and stainless/coated corrosion series; R, S, M roller types; full standard attachment range.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-S-M rollers|A1-A2-K1-K2-SA2-SK2 attachments,,,,,,,,,6.72,10,,25400,113,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF10100,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
TSU-RF10125,Conveyor Roller Chains,RF10125,Tsubaki RF10125 Large Size Conveyor Chain,JIS B1804 / Tsubaki standard (metric pitch),4.921,125,1,Active,catalog-verified,FALSE,"Tsubaki RF10125 large size conveyor chain, 125 mm pitch, 113 kN average tensile (DT series). Available in DT/GT/CT/AT/BT strength-wear tiers and stainless/coated corrosion series; R, F, S, M roller types; full standard attachment range.","large size conveyor, slat conveyor, bulk handling, cement, heavy duty, tsubaki RF, JIS","Carbon Steel, High Tensile Structural Steel, Stainless Steel 400, Stainless Steel 300",DT general use|GT wear resistant|CT pin-bush wear|AT heavy duty 2x tensile|BT heavy duty|MT|RT|YT|DS stainless|GS stainless|SS stainless 300|NEP coated|bearing roller BR|R-F-S-M rollers|A1-A2-K1-K2-SA2-SK2 attachments,,,,,,,,,5.85,8.7,,25400,113,,,-20,200,"Series dependent; AT/SS to 400C, bearing roller lube-free option",Tsubaki Large Size Conveyor Chain catalog (tsubaki.ca),RF10125,,,,,,,,,,,PKG-01 Tsubaki baseline. Avg tensile per Tsubaki DT-series design standard; min tensile = 85% of avg.
