chain_id,brand,brand_part_number,brand_series,equivalency_type,confidence
TSU-RF03075,Tsubaki,RF03075,,Direct,High
TSU-RF03100,Tsubaki,RF03100,,Direct,High
TSU-RF05075,Tsubaki,RF05075,,Direct,High
TSU-RF05100,Tsubaki,RF05100,,Direct,High
TSU-RF05125,Tsubaki,RF05125,,Direct,High
TSU-RF05150,Tsubaki,RF05150,,Direct,High
TSU-RF08125,Tsubaki,RF08125,,Direct,High
TSU-RF08150,Tsubaki,RF08150,,Direct,High
TSU-RF10100,Tsubaki,RF10100,,Direct,High
TSU-RF10125,Tsubaki,RF10125,,Direct,High
TSU-RF10150,Tsubaki,RF10150,,Direct,High
TSU-RF12200,Tsubaki,RF12200,,Direct,High
TSU-RF12250,Tsubaki,RF12250,,Direct,High
TSU-RF17200,Tsubaki,RF17200,,Direct,High
TSU-RF17250,Tsubaki,RF17250,,Direct,High
TSU-RF17300,Tsubaki,RF17300,,Direct,High
TSU-RF26200,Tsubaki,RF26200,,Direct,High
TSU-RF26250,Tsubaki,RF26250,,Direct,High
TSU-RF26300,Tsubaki,RF26300,,Direct,High
TSU-RF26450,Tsubaki,RF26450,,Direct,High
TSU-RF36250,Tsubaki,RF36250,,Direct,High
TSU-RF36300,Tsubaki,RF36300,,Direct,High
TSU-RF36450,Tsubaki,RF36450,,Direct,High
TSU-RF36600,Tsubaki,RF36600,,Direct,High
TSU-RF52300,Tsubaki,RF52300,,Direct,High
TSU-RF52450,Tsubaki,RF52450,,Direct,High
TSU-RF52600,Tsubaki,RF52600,,Direct,High
TSU-RF60300,Tsubaki,RF60300,,Direct,High
TSU-RF60350,Tsubaki,RF60350,,Direct,High
TSU-RF60400,Tsubaki,RF60400,,Direct,High
TSU-RF90350,Tsubaki,RF90350,,Direct,High
TSU-RF90400,Tsubaki,RF90400,,Direct,High
TSU-RF90500,Tsubaki,RF90500,,Direct,High
TSU-RF120400,Tsubaki,RF120400,,Direct,High
TSU-RF120600,Tsubaki,RF120600,,Direct,High
TSU-RF280400,Tsubaki,RF280400,,Direct,High
TSU-RF280600,Tsubaki,RF280600,,Direct,High
TSU-RF360400,Tsubaki,RF360400,,Direct,High
TSU-RF360600,Tsubaki,RF360600,,Direct,High
TSU-RF440400,Tsubaki,RF440400,,Direct,High
TSU-RF440600,Tsubaki,RF440600,,Direct,High
TSU-RF430,Tsubaki,RF430,,Direct,High
TSU-RF204,Tsubaki,RF204,,Direct,High
TSU-RF450,Tsubaki,RF450,,Direct,High
TSU-RF650,Tsubaki,RF650,,Direct,High
TSU-RF214,Tsubaki,RF214,,Direct,High
TSU-RF205,Tsubaki,RF205,,Direct,High
TSU-RF6205,Tsubaki,RF6205,,Direct,High
TSU-RF212,Tsubaki,RF212,,Direct,High
DP-C2040,Tsubaki,RF2040S,,Direct,High
DP-C2042,Tsubaki,RF2040R,,Direct,High
DP-C2050,Tsubaki,RF2050S,,Direct,High
DP-C2052,Tsubaki,RF2050R,,Direct,High
DP-C2060,Tsubaki,RF2060S,,Direct,High
DP-C2062,Tsubaki,RF2060R,,Direct,High
DP-C2080,Tsubaki,RF2080S,,Direct,High
DP-C2082,Tsubaki,RF2080R,,Direct,High
DP-C2100,Tsubaki,RF2100S,,Direct,High
DP-C2102,Tsubaki,RF2100R,,Direct,High
DP-C2120,Tsubaki,RF2120S,,Direct,High
DP-C2122,Tsubaki,RF2120R,,Direct,High
DP-C2160,Tsubaki,RF2160S,,Direct,High
DP-C2162,Tsubaki,RF2160R,,Direct,High
HP-40HP,Tsubaki,RS40-HP,,Direct,High
HP-50HP,Tsubaki,RS50-HP,,Direct,High
HP-60HP,Tsubaki,RS60-HP,,Direct,High
HP-80HP,Tsubaki,RS80-HP,,Direct,High
HP-C2040HP,Tsubaki,RF2040S-HP,,Direct,High
HP-C2042HP,Tsubaki,RF2040R-HP,,Direct,High
HP-C2042HP,Donghua,C2042HP,,Direct,High
HP-C2050HP,Tsubaki,RF2050S-HP,,Direct,High
HP-C2052HP,Tsubaki,RF2050R-HP,,Direct,High
HP-C2052HP,Donghua,C2052HP,,Direct,High
HP-C2060HP,Tsubaki,RF2060S-HP,,Direct,High
HP-C2062HP,Tsubaki,RF2060R-HP,,Direct,High
HP-C2062HP,Donghua,C2062HP,,Direct,High
HP-C2080HP,Tsubaki,RF2080S-HP,,Direct,High
HP-C2082HP,Tsubaki,RF2080R-HP,,Direct,High
HP-C2082HP,Donghua,C2082HP,,Direct,High
LF-BL422,Tsubaki,BL422,,Direct,High
LF-BL423,Tsubaki,BL423,,Direct,High
LF-BL434,Tsubaki,BL434,,Direct,High
LF-BL444,Tsubaki,BL444,,Direct,High
LF-BL446,Tsubaki,BL446,,Direct,High
LF-BL466,Tsubaki,BL466,,Direct,High
LF-BL522,Tsubaki,BL522,,Direct,High
LF-BL523,Tsubaki,BL523,,Direct,High
LF-BL534,Tsubaki,BL534,,Direct,High
LF-BL544,Tsubaki,BL544,,Direct,High
LF-BL546,Tsubaki,BL546,,Direct,High
LF-BL566,Tsubaki,BL566,,Direct,High
LF-BL622,Tsubaki,BL622,,Direct,High
LF-BL623,Tsubaki,BL623,,Direct,High
LF-BL634,Tsubaki,BL634,,Direct,High
LF-BL644,Tsubaki,BL644,,Direct,High
LF-BL646,Tsubaki,BL646,,Direct,High
LF-BL666,Tsubaki,BL666,,Direct,High
LF-BL822,Tsubaki,BL822,,Direct,High
LF-BL823,Tsubaki,BL823,,Direct,High
LF-BL834,Tsubaki,BL834,,Direct,High
LF-BL844,Tsubaki,BL844,,Direct,High
LF-BL846,Tsubaki,BL846,,Direct,High
LF-BL866,Tsubaki,BL866,,Direct,High
LF-BL1022,Tsubaki,BL1022,,Direct,High
DP-C2040H,Donghua,C208AH,,Direct,High
DP-C2042H,Donghua,C208AHL,,Direct,High
DP-C2060H,Donghua,C212AH,,Direct,High
DP-C2060H,MAC Chain,C2060H,,Direct,High
DP-C2062H,Donghua,C212AHL,,Direct,High
DP-C2080H,Donghua,C216AH,,Direct,High
DP-C2080H,MAC Chain,C2080H,,Direct,High
DP-C2082H,Donghua,C216AHL,,Direct,High
DP-C2100H,Donghua,C220AH,,Direct,High
DP-C2100H,MAC Chain,C2100H,,Direct,High
DP-C2102H,Donghua,C220AHL,,Direct,High
DP-C2120H,Donghua,C224AH,,Direct,High
DP-C2122H,Donghua,C224AHL,,Direct,High
DP-C2160H,Donghua,C232AH,,Direct,High
DP-C2162H,Donghua,C232AHL,,Direct,High
DP-C208B,Donghua,C208B/C208BL,,Direct,High
DP-C210B,Donghua,C210B/C210BL,,Direct,High
DP-C212B,Donghua,C212B/C212BL,,Direct,High
DP-C216B,Donghua,C216B/C216BL,,Direct,High
DP-C220B,Donghua,C220B/C220BL,,Direct,High
DP-C224B,Donghua,C224B/C224BL,,Direct,High
HP-08BHP,Donghua,08BHP,,Direct,High
HP-12BHP,Donghua,12BHP,,Direct,High
HP-C2042H-HP,Donghua,C2042H-HP,,Direct,High
HP-C2052H-HP,Donghua,C2052H-HP,,Direct,High
HP-C2062H-HP,Donghua,C2062H-HP,,Direct,High
HP-C2082H-HP,Donghua,C2082H-HP,,Direct,High
HP-C2102HP,Donghua,C2102HP,,Direct,High
ISO-M20,Donghua,M20,,Direct,High
ISO-M28,Donghua,M28,,Direct,High
ISO-M40,Donghua,M40,,Direct,High
ISO-M56,Donghua,M56,,Direct,High
ISO-M80,Donghua,M80,,Direct,High
ISO-M112,Donghua,M112,,Direct,High
ISO-M160,Donghua,M160,,Direct,High
ISO-M224,Donghua,M224,,Direct,High
ISO-M315,Donghua,M315,,Direct,High
ISO-M450,Donghua,M450,,Direct,High
ISO-MC28,Donghua,MC28,,Direct,High
ISO-MC56,Donghua,MC56,,Direct,High
ISO-MC112,Donghua,MC112,,Direct,High
ISO-MC224,Donghua,MC224,,Direct,High
ISO-MT20,Donghua,MT20,,Direct,High
ISO-MT28,Donghua,MT28,,Direct,High
ISO-MT40,Donghua,MT40,,Direct,High
ISO-MT56,Donghua,MT56,,Direct,High
ISO-MT80,Donghua,MT80,,Direct,High
ISO-MT112,Donghua,MT112,,Direct,High
ISO-MT160,Donghua,MT160,,Direct,High
ISO-MT224,Donghua,MT224,,Direct,High
ISO-MT315,Donghua,MT315,,Direct,High
ISO-MT450,Donghua,MT450,,Direct,High
FV-FV40,Donghua,FV40,,Direct,High
FV-FV63,Donghua,FV63,,Direct,High
FV-FV90,Donghua,FV90,,Direct,High
FV-FV112,Donghua,FV112,,Direct,High
FV-FV140,Donghua,FV140,,Direct,High
FV-FV180,Donghua,FV180,,Direct,High
FV-FV250,Donghua,FV250,,Direct,High
FV-FV315,Donghua,FV315,,Direct,High
FV-FVC63,Donghua,FVC63,,Direct,High
FV-FVC90,Donghua,FVC90,,Direct,High
FV-FVC112,Donghua,FVC112,,Direct,High
FV-FVC140,Donghua,FVC140,,Direct,High
FV-FVC180,Donghua,FVC180,,Direct,High
FV-FVC250,Donghua,FVC250,,Direct,High
FV-FVC315,Donghua,FVC315,,Direct,High
FV-FVT40,Donghua,FVT40,,Direct,High
FV-FVT63,Donghua,FVT63,,Direct,High
FV-FVT90,Donghua,FVT90,,Direct,High
FV-FVT112,Donghua,FVT112,,Direct,High
FV-FVT140,Donghua,FVT140,,Direct,High
FV-FVT180,Donghua,FVT180,,Direct,High
FV-FVT250,Donghua,FVT250,,Direct,High
FV-FVT315,Donghua,FVT315,,Direct,High
AG-S32,Donghua,S32,,Direct,High
AG-S42,Donghua,S42,,Direct,High
AG-S45,Donghua,S45,,Direct,High
AG-S51,Donghua,S51,,Direct,High
AG-S52,Donghua,S52,,Direct,High
AG-S55,Donghua,S55,,Direct,High
AG-S55R,Donghua,S55R,,Direct,High
AG-S62,Donghua,S62,,Direct,High
AG-S77,Donghua,S77,,Direct,High
AG-S88,Donghua,S88,,Direct,High
LF-LL0622,Donghua,LL0622,,Direct,High
LF-LL0644,Donghua,LL0644,,Direct,High
LF-LL0666,Donghua,LL0666,,Direct,High
LF-LL0822,Donghua,LL0822,,Direct,High
LF-LL0844,Donghua,LL0844,,Direct,High
LF-LL0866,Donghua,LL0866,,Direct,High
LF-LL0888,Donghua,LL0888,,Direct,High
LF-LL1022,Donghua,LL1022,,Direct,High
LF-LL1044,Donghua,LL1044,,Direct,High
LF-LL1066,Donghua,LL1066,,Direct,High
LF-LL1088,Donghua,LL1088,,Direct,High
LF-LL1222,Donghua,LL1222,,Direct,High
LF-LL1244,Donghua,LL1244,,Direct,High
LF-LL1266,Donghua,LL1266,,Direct,High
LF-LL1288,Donghua,LL1288,,Direct,High
LF-LL1622,Donghua,LL1622,,Direct,High
LF-LL1644,Donghua,LL1644,,Direct,High
LF-LL1666,Donghua,LL1666,,Direct,High
LF-LL1688,Donghua,LL1688,,Direct,High
LF-LL2022,Donghua,LL2022,,Direct,High
LF-LL2044,Donghua,LL2044,,Direct,High
LF-LL2066,Donghua,LL2066,,Direct,High
LF-LL2088,Donghua,LL2088,,Direct,High
LF-LL2422,Donghua,LL2422,,Direct,High
LF-LL2444,Donghua,LL2444,,Direct,High
